subject,time
1366567,time027
1366567,time001
1824234,time023
1824234,time001
5956279,time022
5956279,time001
1411958,time020
1411958,time001
4431867,time022
4431867,time001
5961408,time021
5961408,time001
1842768,time020
1842768,time001
3900229,time023
3900229,time001
2360586,time022
2360586,time001
5676962,time024
5676962,time001
5683779,time025
5683779,time001
2140246,time021
2140246,time001
5487410,time020
5487410,time001
1597400,time023
1597400,time001
4634251,time026
4634251,time001
3490184,time021
3490184,time001
3625298,time025
3625298,time001
1533885,time026
1533885,time001
5549240,time020
5549240,time001
4007029,time019
4007029,time001
4472766,time023
4472766,time001
1958466,time023
1958466,time001
2476913,time018
2476913,time001
3966965,time022
3966965,time001
6005146,time022
6005146,time001
3837410,time023
3837410,time001
2978960,time021
2978960,time001
3865251,time023
3865251,time001
1886923,time001
1886923,time035
4326701,time024
4326701,time001
1887989,time022
1887989,time001
1894962,time020
1894962,time001
5320396,time018
5320396,time001
1797962,time024
1797962,time001
3489168,time022
3489168,time001
2818670,time023
2818670,time001
5128779,time021
5128779,time001
3677405,time024
3677405,time001
4390338,time021
4390338,time001
5436689,time026
5436689,time001
3052130,time021
3052130,time001
5631064,time019
5631064,time001
3687105,time024
3687105,time001
5756805,time018
5756805,time001
5330170,time021
5330170,time001
1237621,time025
1237621,time001
3414923,time020
3414923,time001
3208021,time022
3208021,time001
4826003,time020
4826003,time001
1354578,time022
1354578,time001
3295120,time017
3295120,time001
3425590,time023
3425590,time001
1855338,time019
1855338,time001
5131579,time021
5131579,time001
2203869,time022
2203869,time001
1881548,time045
1881548,time001
2933170,time020
2933170,time001
2508765,time029
2508765,time001
2101203,time020
2101203,time001
4302731,time020
4302731,time001
3652973,time022
3652973,time001
5906231,time021
5906231,time001
5269560,time025
5269560,time001
3548841,time026
3548841,time001
2670988,time023
2670988,time001
2653344,time024
2653344,time001
3995191,time022
3995191,time001
4156770,time017
4156770,time001
2432241,time023
2432241,time001
1453436,time023
1453436,time001
2681609,time021
2681609,time001
4205649,time001
4674705,time022
4674705,time001
5096034,time024
5096034,time001
4989441,time024
4989441,time001
6001809,time023
6001809,time001
3796259,time022
3796259,time001
2822965,time022
2822965,time001
5313581,time019
5313581,time001
3131037,time018
3131037,time001
2876329,time021
2876329,time001
5438533,time019
5438533,time001
4487072,time031
4487072,time001
1521666,time023
1521666,time001
2347819,time023
2347819,time001
4798295,time023
4798295,time001
4148616,time021
4148616,time001
1434538,time022
1434538,time001
3643135,time015
3643135,time001
5282262,time023
5282262,time001
4082176,time020
4082176,time001
2439495,time020
2439495,time001
5496908,time019
5496908,time001
5283304,time018
5283304,time001
2818955,time024
2818955,time001
4546401,time022
4546401,time001
4572121,time018
4572121,time001
1850462,time019
1850462,time001
3671377,time024
3671377,time001
3085469,time021
3085469,time001
2350162,time022
2350162,time001
2130126,time018
2130126,time001
4822209,time001
3746516,time024
3746516,time001
4245335,time020
4245335,time001
3750499,time018
3750499,time001
1208324,time020
1208324,time001
5800969,time022
5800969,time001
3141722,time025
3141722,time001
4374638,time021
4374638,time001
3932581,time021
3932581,time001
3790224,time021
3790224,time001
3649270,time025
3649270,time001
4181750,time017
4181750,time001
3739093,time019
3739093,time001
3205197,time019
3205197,time001
1809635,time020
1809635,time001
2640407,time020
2640407,time001
4962533,time019
4962533,time001
4389363,time024
4389363,time001
3199264,time022
3199264,time001
3198034,time022
3198034,time001
5087047,time019
5087047,time001
1260508,time022
1260508,time001
1939044,time021
1939044,time001
2969096,time021
2969096,time001
4821229,time025
4821229,time001
5285877,time019
5285877,time001
3363078,time018
3363078,time001
3629986,time023
3629986,time001
4722160,time001
5209750,time021
5209750,time001
5658759,time023
5658759,time001
