subject,time
2379910,time024
4132488,time018
4095750,time001
3617544,time001
2252016,time001
5725752,time001
2679691,time001
3172479,time001
4011391,time025
3037883,time001
4374638,time021
2594485,time001
4616504,time021
2998762,time001
3538992,time024
3284775,time001
3443387,time020
4395902,time023
3668105,time026
5604334,time026
4935369,time001
3870898,time001
5896051,time025
4934292,time020
2844095,time001
2285443,time025
4557246,time022
2843791,time001
4431710,time001
4290956,time019
3712089,time001
3072694,time001
6015764,time001
3740172,time018
4240364,time001
3815629,time001
2201471,time001
5188199,time001
3428383,time025
4350254,time001
2248077,time001
5747076,time001
3430738,time001
4137581,time028
5621913,time001
2237233,time001
5788767,time001
2641631,time001
5992755,time001
3672085,time001
4022292,time022
2277432,time019
5651405,time001
4156770,time001
2494110,time023
2515581,time001
4696873,time024
2859083,time014
5120001,time022
3692901,time026
3597866,time001
4700606,time015
5814248,time023
3490184,time021
3436491,time023
3111571,time024
3101719,time001
2281640,time022
2588638,time019
3161404,time001
4497213,time025
4284754,time021
2713544,time021
2772442,time022
4405537,time001
2869466,time001
2525036,time030
5690716,time021
3786563,time032
4279344,time015
3384648,time020
3614055,time001
3737063,time001
2127980,time018
5396643,time022
2919641,time025
3395962,time001
5439602,time025
2525267,time001
5432260,time023
5472482,time026
4646887,time001
2833554,time001
5772102,time001
2514189,time023
3193456,time019
3462170,time025
3672085,time023
4933024,time001
2365319,time001
5146613,time022
3602774,time001
5754332,time001
4487072,time031
4604302,time018
3986095,time025
3704755,time001
2652995,time001
2631097,time022
5978803,time022
4019928,time001
2665162,time021
4939365,time001
3395557,time001
4634942,time023
2312319,time022
3484785,time023
4660132,time001
4936901,time001
3401524,time022
2322484,time001
4950146,time001
5496471,time001
5552619,time021
3900698,time001
3622413,time001
2854958,time001
3458807,time025
4449458,time020
2416950,time001
3289857,time025
2296772,time001
4243415,time017
6017466,time001
5700188,time018
5427555,time001
4218489,time001
5418525,time022
4335617,time001
3225921,time001
2357384,time001
2908540,time001
2783421,time001
5504701,time025
2571580,time001
4698004,time001
3861632,time001
5092797,time001
5286187,time001
5561391,time001
2794805,time018
4188549,time023
4821229,time001
3489893,time001
2201533,time019
3908979,time001
2620440,time023
5027511,time025
4266792,time001
5785807,time017
2667668,time001
3077660,time021
2740474,time020
2865152,time001
2818955,time024
2832484,time023
4760399,time001
4593901,time001
2749481,time001
5660568,time019
4527991,time001
5330170,time001
3371866,time025
3122842,time024
2139413,time022
3672109,time020
5920122,time024
4347468,time025
5604334,time001
4698715,time001
3445742,time025
2625604,time001
4345737,time020
3690678,time019
3130963,time001
3997973,time023
5205099,time001
5666309,time001
3829119,time021
5862341,time001
4050458,time022
4896986,time019
5668432,time023
5120617,time026
5424835,time001
3403296,time001
5626790,time001
2957657,time001
2330963,time001
3499441,time018
5544495,time001
3156532,time022
4424944,time025
5569393,time001
4743279,time001
3713786,time025
4028361,time023
3383410,time027
5542995,time022
3420549,time001
3934216,time001
3574327,time025
5549240,time020
3655502,time018
5541762,time024
2211327,time001
4601981,time001
3426432,time024
5421556,time023
2150465,time001
2793149,time001
5013373,time026
3012642,time001
4881777,time001
2917317,time024
4057544,time021
5206745,time001
3980225,time001
4567153,time022
2287381,time001
4908244,time023
2870888,time001
2819875,time025
5870149,time001
3997973,time001
3661718,time023
5382925,time001
5446805,time021
2927063,time020
2222188,time001
3524267,time001
3892151,time026
4023420,time022
5791892,time001
4896707,time023
4246593,time024
5071785,time026
5439602,time001
5382197,time001
4784696,time024
3332368,time001
2820766,time025
2804895,time001
4828139,time001
3079162,time025
3923297,time024
4760399,time022
5910905,time021
3314205,time001
4940049,time024
3006738,time001
4103979,time001
4276302,time027
4495342,time021
3865853,time001
4651227,time026
5734834,time001
4204808,time001
5861688,time020
3909015,time001
3942485,time001
4166569,time024
4084870,time019
5647242,time001
4877614,time023
4188549,time023
3996103,time021
2704421,time001
4670330,time021
4777118,time022
4108016,time001
2170039,time022
3077660,time001
4405537,time001
2554841,time001
3516016,time001
5682433,time022
4382072,time018
4972279,time029
3711355,time021
2427902,time024
5131579,time001
5869955,time027
2324783,time001
2109143,time024
5589281,time022
2243275,time001
2571730,time001
4826003,time020
4010509,time022
3232330,time026
5305763,time023
5769359,time024
2787228,time001
5720481,time015
4309331,time028
2212481,time023
5241538,time001
2810700,time024
5283304,time018
4751478,time001
4660132,time025
2261504,time001
3239536,time001
3605520,time025
2097904,time025
5808232,time022
5153448,time001
2842605,time001
4237230,time001
5303952,time001
3384044,time022
2420162,time001
5232720,time022
4074796,time016
2626071,time020
2868630,time022
3982361,time001
5146034,time021
3508476,time001
5530275,time001
5946355,time001
4423457,time001
2832484,time001
5575980,time021
3444754,time001
2498191,time024
3752550,time024
3454744,time025
3621371,time018
2857217,time029
2970429,time021
2628355,time029
3319001,time001
4715592,time026
3242215,time018
4634942,time001
4809846,time023
5552875,time021
3575404,time001
5122729,time001
3755691,time025
3425590,time023
3162230,time001
2946943,time001
3395962,time019
5960076,time026
3322636,time029
3195672,time021
2872366,time001
3620198,time024
4010397,time025
4242047,time020
3292725,time025
4296359,time024
5466411,time021
2312319,time001
2506542,time001
2624313,time026
3671404,time001
2746876,time023
3548841,time001
4441884,time001
5664653,time020
4468431,time001
2330548,time020
5345579,time024
5681857,time026
5725752,time026
4441884,time027
5018705,time021
4174150,time001
5122877,time022
5494498,time001
4296359,time001
4750978,time024
2108181,time001
2361017,time001
5974473,time001
5016682,time020
3162230,time024
3940990,time001
3042072,time021
4950478,time028
2708105,time024
2376568,time001
5790955,time022
2199158,time025
4863440,time024
4247083,time001
3858015,time001
3383892,time021
2710049,time001
3802555,time022
5151926,time001
4497129,time020
2846751,time001
2312319,time022
5489070,time001
3462937,time001
5751028,time020
4962032,time001
4035593,time001
5183072,time001
5317831,time001
2347957,time001
3597857,time001
5009404,time001
5340650,time001
5474748,time024
4557246,time001
2323704,time001
3481734,time001
4745280,time019
4830779,time001
5664653,time001
5369555,time001
3316682,time018
3854837,time001
4173167,time019
4684538,time001
4887712,time001
2660094,time001
4601843,time021
2707066,time001
3508454,time024
3852374,time027
2876000,time022
4095750,time019
4323374,time001
4236838,time001
2818955,time001
5753644,time020
5611930,time001
2337220,time001
4451043,time027
5637113,time025
5623319,time023
5135334,time017
5658759,time023
3586083,time025
2384034,time020
5974464,time021
4218489,time023
3485191,time001
2698976,time020
5544495,time027
2668366,time001
2330963,time022
2259689,time025
2451363,time001
4768427,time001
3336803,time001
3154374,time001
4943030,time001
3485650,time016
