subject,time,CD,HD
1366567,time027,3.7198705673217773,5.066723121481002
1366567,time001,3.667233943939209,4.686077187670768
1824234,time023,2.8195455074310303,4.064596905844949
1824234,time001,3.312974214553833,4.858642066143807
1411958,time020,3.1984457969665527,4.877482745461264
1411958,time001,4.048948287963867,4.655512255026147
1842768,time020,2.467273235321045,3.8346296529777266
1842768,time001,3.3175697326660156,5.02268127218264
1597400,time023,3.5379066467285156,4.457697218661
1597400,time001,4.572001934051514,5.368720083304824
1533885,time026,3.5567026138305664,5.2664771259120675
1533885,time001,6.859399795532227,6.427638603089319
1958466,time023,3.909470558166504,6.992674614628722
1958466,time001,3.627878427505493,6.7337868439461905
1886923,time001,3.767179489135742,5.657512048479253
1886923,time035,3.909388780593872,5.245994496437371
1887989,time022,2.830826759338379,5.466596116140919
1887989,time001,3.2608866691589355,4.072456008178387
1894962,time020,4.501246452331543,4.836853692311525
1894962,time001,4.806983947753906,5.771510222420688
1797962,time024,2.7971959114074707,3.6126502836102956
1797962,time001,3.9739866256713867,5.392303155934499
1237621,time025,3.54791259765625,4.3513043952715265
1237621,time001,4.899435043334961,7.298901852817874
1354578,time022,3.267040252685547,4.257308407185485
1354578,time001,3.805776596069336,4.592579301214649
1855338,time019,3.380021095275879,5.270580350512537
1855338,time001,6.69219446182251,6.5371758257205625
1881548,time045,3.826152801513672,6.058672932523806
1881548,time001,6.656179904937744,6.274885055234544
1453436,time023,2.0853536128997803,3.5944902773905976
1453436,time001,3.1831765174865723,4.208974863837365
1521666,time023,3.582526206970215,4.47759785941154
1521666,time001,5.018948078155518,5.096876344200592
1434538,time022,3.6455397605895996,7.476667925494747
1434538,time001,4.441333770751953,4.843627135076508
1850462,time019,4.1453704833984375,5.00047006595357
1850462,time001,4.844717979431152,5.418825931706953
1208324,time020,2.9111123085021973,4.187147817373833
1208324,time001,3.4844260215759277,4.609049734463189
1809635,time020,3.599850654602051,6.02034453094136
1809635,time001,4.54409122467041,5.269791720677663
1260508,time022,2.8470993041992188,4.331953841209036
1260508,time001,3.9762916564941406,4.390889489984697
1939044,time021,2.9300034046173096,4.078096199579094
1939044,time001,4.4637908935546875,4.671753345186568
1900084,time024,5.752601623535156,5.486710349494234
1900084,time001,5.825389862060547,6.4412284742719725
1894914,time020,2.542228937149048,3.6355947250198284
1894914,time001,3.1072731018066406,4.2243590977687075
1732187,time001,4.931931972503662,5.04407102062744
1732187,time016,3.525177001953125,4.455861746627793
1132329,time023,4.107625484466553,6.011375587362839
1132329,time001,5.384537696838379,5.781311577150036
2031541,time026,4.128800868988037,5.2082117148749685
2031541,time001,3.281813621520996,5.484178247994266
2051122,time022,2.69716215133667,4.124286224272008
2051122,time001,3.3405885696411133,4.685544931028518
2025475,time024,3.6685516834259033,5.115175523011776
2025475,time001,4.705570220947266,5.57318610360228
1502926,time021,3.468160390853882,5.1756430580152974
1502926,time001,4.173683166503906,5.576372362631268
1772631,time030,3.3630802631378174,4.759814742520305
1772631,time001,4.134060859680176,5.310583570421259
2017750,time022,2.453216552734375,4.147861050853952
2017750,time001,3.7952356338500977,5.6466790441303845
1039245,time022,3.163844108581543,4.724523631597553
1039245,time001,3.5260813236236572,4.454232555848718
1047651,time021,4.516386985778809,5.6370881361336895
1047651,time001,4.003367900848389,5.022245742969786
1850964,time025,4.15201473236084,4.1021314127923
1850964,time001,4.75148868560791,4.962440242124573
1079385,time021,5.1244988441467285,5.736117965360541
1079385,time001,5.192805290222168,5.522883229758975
1032082,time020,4.473910331726074,5.704220276007822
1032082,time001,4.686736106872559,5.576831278236434
1780533,time024,2.6018455028533936,3.900595788738437
1780533,time001,3.691058874130249,4.771856537643915
1891698,time001,3.729398250579834,5.088064924123148
1891698,time028,3.4077582359313965,5.903164218290497
1720858,time025,2.9462029933929443,5.61817889799672
1720858,time001,3.7334275245666504,4.4906703680318145
1460205,time023,5.4987382888793945,9.047092298900791
1460205,time001,4.679203987121582,5.034315057413531
1839574,time019,4.79295539855957,6.43174286767564
1839574,time001,5.1236982345581055,6.609042973807224
1028892,time021,3.240912675857544,4.672051386848481
1028892,time001,3.4854249954223633,4.2106474457431835
1431717,time020,2.8223819732666016,4.767875693605826
1431717,time001,3.9818265438079834,5.201119931434516
1341120,time021,4.476564407348633,6.056014704994485
1341120,time001,6.041051864624023,5.6180393790626955
1897705,time015,3.1762380599975586,4.3112360767326665
1897705,time001,3.9013047218322754,5.617098881411422
1159143,time017,3.045572280883789,4.018412705598114
1159143,time001,3.828023910522461,4.281426367544422
1602533,time024,3.3398690223693848,5.051315792982981
1602533,time001,3.879146099090576,5.189781550714339
1368705,time021,3.2885355949401855,4.823370429588714
1368705,time001,4.500637054443359,5.250424863453953
2080044,time022,4.050634384155273,4.747087527457521
2080044,time001,4.1162800788879395,4.341069895088342
1880493,time022,3.2196695804595947,4.156563445205261
1880493,time001,3.131831645965576,4.954139795260151
1181757,time020,4.3889055252075195,6.252346886315298
1181757,time001,4.294942855834961,5.585790735618101
1928864,time022,3.165696859359741,4.995612046334652
1928864,time001,3.9126009941101074,5.665898912828553
1228404,time021,2.6935579776763916,3.826130894571529
1228404,time001,3.2384939193725586,4.416964080038436
1822767,time023,3.4617722034454346,4.257391498470256
1822767,time001,4.7387895584106445,5.657246010645208
1601101,time019,3.372373342514038,4.692866944809684
1601101,time001,5.3708577156066895,5.595191200047474
1423462,time023,4.746646881103516,4.998942330889984
1423462,time001,4.494415283203125,5.230605958209467
1144818,time025,6.006888389587402,6.045441570574714
1144818,time001,3.34066104888916,4.011509039301993
1637449,time024,2.818662166595459,4.530145945161197
1637449,time001,4.462070941925049,5.92747469996376
1918825,time026,4.849936485290527,5.255898759213977
1918825,time001,5.336612701416016,5.1371393737030555
1967729,time027,2.980559825897217,4.349541688782326
1967729,time001,3.6396665573120117,5.143520889642862
1755359,time022,3.0533816814422607,4.8149825413667
1755359,time001,5.041810989379883,5.62470576600004
1861316,time018,4.2187395095825195,5.083788492966584
1861316,time001,4.439794540405273,5.364093582793763
1857752,time020,2.291191339492798,5.358331816169441
1857752,time001,3.3844351768493652,4.647363782648168
1924204,time022,3.7589807510375977,4.321460396710976
1924204,time001,5.769079208374023,6.011890043293627
1843276,time022,3.975633144378662,5.368601239834188
1843276,time001,3.629340648651123,4.571328330707896
1247775,time018,6.059589385986328,9.015234323379444
1247775,time001,3.682948112487793,4.655252661183768
1737495,time026,2.6971263885498047,3.7729506571601465
1737495,time001,3.556715965270996,4.737884122110855
1946809,time026,5.07247257232666,8.451297204431388
1946809,time001,6.745246410369873,7.656449464638164
1075716,time026,3.3853962421417236,4.30184231150026
1075716,time001,3.9256272315979004,5.047084595936718
1198603,time022,2.862447738647461,4.336906514944561
1198603,time001,4.131964683532715,4.704611877362652
1070080,time024,2.547081708908081,3.5628250206489454
1070080,time001,3.4149017333984375,4.166035531003603
1956140,time025,3.3988614082336426,4.436980336809945
1956140,time001,4.122228622436523,5.542038682441149
1902646,time020,3.140630006790161,3.8483348197547502
1902646,time001,4.52029275894165,6.215607805658593
1032859,time024,2.940443992614746,4.3070479932223495
1032859,time001,3.7768893241882324,5.163662671130601
1954858,time022,4.312217712402344,4.638508255287664
1954858,time001,4.867979049682617,5.4261312873255845
1555706,time019,3.183043956756592,5.224254430724512
1555706,time001,5.110379219055176,6.481892267888999
1193174,time024,2.974184036254883,4.599872414956455
1193174,time001,4.823308944702148,5.948537403613875
1814662,time018,3.6341159343719482,6.060301436139931
1814662,time001,3.9434115886688232,4.7605017526079445
2038214,time014,3.6396055221557617,4.6069405753596255
2038214,time001,5.0279388427734375,6.098760571527442
1426387,time026,4.482349395751953,5.384068526992839
1426387,time001,5.730848789215088,6.622727605931673
1744691,time022,3.266361713409424,4.064878933894745
1744691,time001,3.525506019592285,4.958981732018072
2042477,time017,3.336742401123047,4.7348573816404205
2042477,time001,4.597740173339844,4.775067207314747
1074303,time020,4.342255592346191,4.848187105480022
1074303,time001,3.4301962852478027,4.388636298098026
2043503,time017,3.419170379638672,4.3827316983327975
2043503,time001,4.692809104919434,4.981603160148218
1135078,time021,3.4706788063049316,4.198234190300175
1135078,time001,3.7216596603393555,4.406173707639945
1292586,time021,3.0881412029266357,3.8848400356069237
1292586,time001,3.7230663299560547,4.941042004753406
1567316,time001,8.692466735839844,10.049411107503007
2033280,time023,4.006468772888184,5.744306413119478
2033280,time001,4.776389122009277,4.870747546750528
1725666,time018,6.6626787185668945,6.506922721234861
1725666,time001,6.230094909667969,7.978350217642099
2049223,time019,4.443866729736328,5.696763772826944
2049223,time001,4.732211589813232,5.442772706665343
1634239,time020,2.303863763809204,3.780209096371428
1634239,time001,3.266173839569092,4.504072154445707
1846348,time029,3.433380126953125,4.152147824870034
1846348,time001,4.300817489624023,5.362179221310605
1460546,time022,3.5355992317199707,5.61919841701522
1460546,time001,3.427337646484375,4.6649679325234255
1065646,time022,3.673625946044922,6.514513234446145
1065646,time001,3.555044174194336,4.331255624980694
1554204,time026,2.710784435272217,3.7801435615367063
1554204,time001,3.7919070720672607,4.633213205928986
2081171,time027,3.2303638458251953,4.677328514543141
2081171,time001,3.918623447418213,4.733901871769592
