case_id,trans
1003814,"[-0.28991246475388305, 0.3916289682602408, 3.5849493440965707, 69.42156738523772, -0.6759081990274255, 0.5622026571377078, -1.9562619046952971, 104.84676345989831, -0.12378653877183585, -0.13307162931531133, 0.07628674449569539, 33.1290117732548, 0.0, 0.0, 0.0, 1.0]"
1038548,"[-0.1489552043428523, 0.25881891386738426, 3.917946352352091, 79.70665722772264, -0.21413779257299295, 0.9337937406849148, -1.1768159922311086, 22.1467563205822, -0.17636738022009935, -0.04513716287860068, -0.06275290311400177, 25.856959783316686, 0.0, 0.0, 0.0, 1.0]"
1040266,"[-0.12565275411808555, 0.21992811328212025, 3.971389536548911, 61.068963101830434, -0.36307811847514754, 0.8972731799098028, -1.0310259878126857, 49.56052984168005, -0.16867018071279044, -0.06993378112434838, -0.02467032373081959, 31.842424489492522, 0.0, 0.0, 0.0, 1.0]"
1045632,"[-0.06935503523556392, 0.20498063134433298, 4.007991961893122, 62.28508919466747, -0.45532002836543, 0.8642750609791915, -0.8777230622210003, 69.51026304188278, -0.16216178158059552, -0.08392152559861572, 0.025042469677975947, 36.57864867079087, 0.0, 0.0, 0.0, 1.0]"
1049294,"[-0.35077000176281253, 0.3745894694921987, 3.523461753390847, 81.00257309725744, -0.48445673904526093, 0.7117546270672828, -2.0880701953730734, 89.35875833936083, -0.14641191241822607, -0.10855799236325528, -0.051142334190146875, 34.1885036960785, 0.0, 0.0, 0.0, 1.0]"
1055302,"[-0.32043220962401164, 0.33734255082408954, 3.633849357607113, 76.43729732840544, -0.5442296470255172, 0.699267911477234, -1.9028170028243956, 88.701421984372, -0.14164691147260935, -0.11514318247715137, -0.03035710847410186, 34.72979360426166, 0.0, 0.0, 0.0, 1.0]"
1058822,"[-0.6073803344557679, 0.5427711145863178, 2.381366722675568, 72.44473570477507, -0.3867578431861724, 0.4357824207784437, -3.336425293238606, 103.70431524712819, -0.1267715596251143, -0.13116917025069852, -0.04107350978568871, 34.69942867125346, 0.0, 0.0, 0.0, 1.0]"
1067109,"[-0.18723906982055774, 0.13553617720402972, 3.9940885914107853, 89.25231816114912, -0.16712578377742845, 0.9716003496531084, -0.6876971916455745, 24.375035213513897, -0.1768448732085255, -0.03543598681584893, -0.1194524824846002, 27.659294806316705, 0.0, 0.0, 0.0, 1.0]"
1113915,"[-0.08885352440918595, 0.26430034137145175, 3.9424428843296466, 59.01005984826887, -0.4667096930567518, 0.8407136128817022, -1.1271372053000555, 76.23619335960919, -0.16075751729964582, -0.08633945764195473, 0.036488372754709265, 35.135156226913445, 0.0, 0.0, 0.0, 1.0]"
1116877,"[-0.1368753611004868, 0.33864528884456274, 3.6753479199103283, 62.07467637033672, -0.17739445502624188, 0.8797423570403099, -1.4774445204489803, 34.91802938563981, -0.17771957373363564, -0.04065957675937115, -0.0484053673188164, 30.10543256877095, 0.0, 0.0, 0.0, 1.0]"
1135845,"[-0.07308139160337813, 0.21854980917733555, 3.9947715764733607, 68.76433707437474, -0.3968010416173414, 0.8887733123855727, -0.941807316019039, 53.88837794752558, -0.16716177589335765, -0.07360439304965886, 0.01632599894772846, 33.38407700086784, 0.0, 0.0, 0.0, 1.0]"
1151362,"[-0.2537401034081974, 0.42626134433072116, 3.552119924902619, 67.6626093409248, -0.2876858343312197, 0.8205321413592086, -2.0057960635236296, 49.484762207041854, -0.16863968703231008, -0.06848466786750858, -0.0645176436941073, 30.740058150174484, 0.0, 0.0, 0.0, 1.0]"
1167242,"[-0.41965895519395296, 0.3461441274424892, 3.444681676585365, 78.73448137537932, -0.6479443707235892, 0.5331406884664465, -2.2332370505501813, 126.71084709584801, -0.11612887634284497, -0.14103388057675206, 0.00040865590663194726, 34.96278711023832, 0.0, 0.0, 0.0, 1.0]"
1172891,"[-0.3544851441622262, 0.4288196462582863, 3.411209157590079, 73.54252445318672, -0.5486826943571644, 0.6241777325117063, -2.2833138233509285, 91.34453205034781, -0.13832685189079422, -0.11931301093154062, 0.010518140430160925, 31.260721528669244, 0.0, 0.0, 0.0, 1.0]"
1174508,"[-0.516824357671013, 0.48776054815519704, 2.88825672383505, 49.12347109731093, -0.44919042175911744, 0.5450979522844073, -2.9060396657781955, 86.60723415197678, -0.13314253658812888, -0.12457390439452812, -0.04696689953541143, 30.410876643834218, 0.0, 0.0, 0.0, 1.0]"
1188089,"[-0.013428411858499651, 0.186242871077627, 4.033059518484383, 68.03037194016429, -0.35770831649283796, 0.9165848197442487, -0.733417646244679, 46.0873662510608, -0.17058652572166397, -0.06463945543743568, 0.04073426437283243, 32.87543717421579, 0.0, 0.0, 0.0, 1.0]"
1202478,"[-0.2852809486531967, 0.40901546735196215, 3.5583923119079097, 58.78253845242432, -0.36705744687230024, 0.7887962698008224, -2.0239796353432067, 59.34716878452478, -0.16175066499559004, -0.08382111579288865, -0.05617227389340245, 30.45679842716502, 0.0, 0.0, 0.0, 1.0]"
1207025,"[-0.5063620837479352, 0.5750241139797198, 2.63807380367046, 41.37138903848423, -0.4112388109777855, 0.4939776573225437, -3.14493350779968, 86.69684233298618, -0.13847065993844726, -0.11914751507800352, -0.010244492227644206, 30.00345647199879, 0.0, 0.0, 0.0, 1.0]"
1222421,"[-0.2681866679632075, 0.4733950304775837, 3.4444432648683545, 59.20886004734085, -0.5375874416461042, 0.6491804821023239, -2.209091139724986, 86.89974220856813, -0.14604825853777012, -0.1087689645839269, 0.06029225469048969, 30.706127056990795, 0.0, 0.0, 0.0, 1.0]"
